Date,Amount,Details
01/04/2020,-38.57,PIN*585 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 28/03/2020
01/07/2020,-31.46,PIN*479 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 28/06/2020
01/07/2020,-42.22,PIN*401 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 26/06/2020
01/08/2020,-19.49,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 29/07/2020
01/09/2020,-19.99,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 27/08/2020
02/06/2020,-17.05,PIN*854 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 29/05/2020
02/07/2020,-18.57,PIN*819 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 30/06/2020
02/10/2020,-35.26,046Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 29/09/2020
02/12/2020,-16.71,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 30/11/2020
03/06/2020,-17.05,PIN*892 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 30/05/2020
03/09/2020,-13.13,914Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 31/08/2020
03/10/2020,-13.13,869Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 30/09/2020
03/11/2020,-18.74,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 29/10/2020
04/07/2020,-25.37,PIN*800 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 02/07/2020
04/07/2020,-19.59,PIN*776 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 02/07/2020
04/08/2020,-18.86,631Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 31/07/2020
04/08/2020,-18.06,299Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 01/08/2020
04/08/2020,-17.87,802Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 31/07/2020
04/11/2020,-16.5,HungryPanda AU 0426843655 VI AUS Tap and Pay xx5802 Value Date: 01/11/2020
05/05/2020,-32.58,PIN*228 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 30/04/2020
05/11/2020,-23.79,HungryPanda AU 0426843655 VI AUS Tap and Pay xx5802 Value Date: 02/11/2020
06/08/2020,-16.84,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 02/08/2020
